id,xmin,xmax,ymin,ymax
61,-43.113909823799900,-43.101909823799900,-22.664304828900000,-22.652304828900000
62,-43.101909823799900,-43.089909823799900,-22.664304828900000,-22.652304828900000
63,-43.089909823799900,-43.077909823799900,-22.664304828900000,-22.652304828900000
64,-43.077909823799900,-43.065909823799900,-22.664304828900000,-22.652304828900000
65,-43.065909823799900,-43.053909823799900,-22.664304828900000,-22.652304828900000
66,-43.053909823799900,-43.041909823799900,-22.664304828900000,-22.652304828900000
67,-43.041909823799900,-43.029909823799900,-22.664304828900000,-22.652304828900000
68,-43.845909823800000,-43.833909823799900,-22.676304828900000,-22.664304828900000
69,-43.833909823799900,-43.821909823799900,-22.676304828900000,-22.664304828900000
70,-43.821909823799900,-43.809909823799900,-22.676304828900000,-22.664304828900000
71,-43.809909823799900,-43.797909823799900,-22.676304828900000,-22.664304828900000
72,-43.797909823799900,-43.785909823799900,-22.676304828900000,-22.664304828900000
73,-43.785909823799900,-43.773909823799900,-22.676304828900000,-22.664304828900000
74,-43.773909823799900,-43.761909823799900,-22.676304828900000,-22.664304828900000
75,-43.761909823799900,-43.749909823799900,-22.676304828900000,-22.664304828900000
76,-43.749909823799900,-43.737909823799900,-22.676304828900000,-22.664304828900000
77,-43.737909823799900,-43.725909823799900,-22.676304828900000,-22.664304828900000
78,-43.725909823799900,-43.713909823799900,-22.676304828900000,-22.664304828900000
79,-43.713909823799900,-43.701909823799900,-22.676304828900000,-22.664304828900000
80,-43.701909823799900,-43.689909823799900,-22.676304828900000,-22.664304828900000
81,-43.689909823799900,-43.677909823799900,-22.676304828900000,-22.664304828900000
82,-43.677909823799900,-43.665909823799900,-22.676304828900000,-22.664304828900000
83,-43.665909823799900,-43.653909823799900,-22.676304828900000,-22.664304828900000
84,-43.653909823799900,-43.641909823799900,-22.676304828900000,-22.664304828900000
85,-43.641909823799900,-43.629909823799900,-22.676304828900000,-22.664304828900000
86,-43.629909823799900,-43.617909823799900,-22.676304828900000,-22.664304828900000
87,-43.617909823799900,-43.605909823799900,-22.676304828900000,-22.664304828900000
88,-43.605909823799900,-43.593909823799900,-22.676304828900000,-22.664304828900000
89,-43.593909823799900,-43.581909823799900,-22.676304828900000,-22.664304828900000
90,-43.581909823799900,-43.569909823799900,-22.676304828900000,-22.664304828900000
91,-43.569909823799900,-43.557909823799900,-22.676304828900000,-22.664304828900000
92,-43.557909823799900,-43.545909823799900,-22.676304828900000,-22.664304828900000
93,-43.545909823799900,-43.533909823799900,-22.676304828900000,-22.664304828900000
94,-43.533909823799900,-43.521909823799900,-22.676304828900000,-22.664304828900000
95,-43.521909823799900,-43.509909823799900,-22.676304828900000,-22.664304828900000
96,-43.509909823799900,-43.497909823799900,-22.676304828900000,-22.664304828900000
97,-43.497909823799900,-43.485909823799900,-22.676304828900000,-22.664304828900000
98,-43.485909823799900,-43.473909823799900,-22.676304828900000,-22.664304828900000
99,-43.473909823799900,-43.461909823799900,-22.676304828900000,-22.664304828900000
100,-43.461909823799900,-43.449909823799900,-22.676304828900000,-22.664304828900000
101,-43.449909823799900,-43.437909823799900,-22.676304828900000,-22.664304828900000
102,-43.437909823799900,-43.425909823799900,-22.676304828900000,-22.664304828900000
103,-43.425909823799900,-43.413909823799900,-22.676304828900000,-22.664304828900000
104,-43.413909823799900,-43.401909823799900,-22.676304828900000,-22.664304828900000
105,-43.401909823799900,-43.389909823799900,-22.676304828900000,-22.664304828900000
106,-43.389909823799900,-43.377909823799900,-22.676304828900000,-22.664304828900000
107,-43.377909823799900,-43.365909823799900,-22.676304828900000,-22.664304828900000
108,-43.365909823799900,-43.353909823799900,-22.676304828900000,-22.664304828900000
109,-43.353909823799900,-43.341909823799900,-22.676304828900000,-22.664304828900000
110,-43.341909823799900,-43.329909823799900,-22.676304828900000,-22.664304828900000
111,-43.329909823799900,-43.317909823799900,-22.676304828900000,-22.664304828900000
112,-43.317909823799900,-43.305909823799900,-22.676304828900000,-22.664304828900000
113,-43.305909823799900,-43.293909823799900,-22.676304828900000,-22.664304828900000
